SubjNum,Age,Gender,Condition,Condition_HardBase,Condition_ImpossibleBase,TrialNumber,TrialNumber_AsFactor,TimeTrying,TimeTrying_sqrt,MaxPSI,MaxPSI_sqrt,HelpSeekingNum_exp,HelpSeekingNum_exp_avg,HelpSeekingRate_exp_avg,HelpSeekingRate_Recovery,NumAffectFrames,TotalPosFrames,TotalNegFrames,NumHints_Recovery
73,17.87,M,Easy,Easy,Easy,2,2,1.394,3.375499963,3.987,3.739919785,0,0.666666667,0.03333333,0.039732205,3,0,0,5
73,17.87,M,Easy,Easy,Easy,3,3,0,3.16227766,NA,NA,2,0.666666667,0.03333333,0.039732205,NA,NA,NA,5
74,18.2,M,Easy,Easy,Easy,1,1,5.822,3.977687771,0.157,3.187004864,0,0,0,0,15,0,10,0
74,18.2,M,Easy,Easy,Easy,2,2,8.602,4.313003594,1.142,3.337963451,0,0,0,0,18,0,0,0
74,18.2,M,Easy,Easy,Easy,3,3,4.964,3.868332974,2.292,3.505994866,0,0,0,0,10,0,0,0
77,19.2,M,Impossible,Impossible,Impossible,1,1,6.834,4.102925785,0.398,3.224592998,0,0,0,0,16,13,0,0
77,19.2,M,Impossible,Impossible,Impossible,2,2,1.19,3.345145737,0.711,3.272766414,0,0,0,0,3,0,0,0
77,19.2,M,Impossible,Impossible,Impossible,3,3,3.434,3.665242148,3.064,3.614415582,0,0,0,0,8,0,3,0
82,18.1,F,Impossible,Impossible,Impossible,1,1,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,5
82,18.1,F,Impossible,Impossible,Impossible,2,2,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,5
82,18.1,F,Impossible,Impossible,Impossible,3,3,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,5
86,18.27,F,Easy,Easy,Easy,1,1,1.02,3.319638535,0.086,3.175846344,0,0,0,0,3,0,2,6
86,18.27,F,Easy,Easy,Easy,2,2,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,6
86,18.27,F,Easy,Easy,Easy,3,3,1.802,3.435403906,0.549,3.247922413,0,0,0,0,5,0,0,6
87,18.1,M,Hard,Hard,Hard,1,1,8.772,4.332666615,6.992,4.122135369,0,0,0,0,19,1,2,0
87,18.1,M,Hard,Hard,Hard,2,2,1.564,3.400588184,3.856,3.72236484,0,0,0,0,4,0,1,0
87,18.1,M,Hard,Hard,Hard,3,3,4.972,3.869366873,2.986,3.603609302,0,0,0,0,12,0,2,0
88,18.23,F,Easy,Easy,Easy,1,1,4.658,3.828576759,1.148,3.338862082,3,2,0.1,0.026283972,10,7,0,4
88,18.23,F,Easy,Easy,Easy,2,2,0,3.16227766,NA,NA,2,2,0.1,0.026283972,NA,NA,NA,4
88,18.23,F,Easy,Easy,Easy,3,3,0,3.16227766,NA,NA,1,2,0.1,0.026283972,NA,NA,NA,4
90,17.77,M,Impossible,Impossible,Impossible,1,1,15.546,5.054305096,5.952,3.993995493,1,1.333333333,0.06666667,0,31,11,0,0
90,17.77,M,Impossible,Impossible,Impossible,2,2,4.862,3.855126457,7.206,4.148011572,1,1.333333333,0.06666667,0,9,0,7,0
90,17.77,M,Impossible,Impossible,Impossible,3,3,0.382,3.222111109,0.05,3.170173497,2,1.333333333,0.06666667,0,2,0,2,0
91,18.43,M,Hard,Hard,Hard,1,1,9.12,4.372642222,1.734,3.425492665,0,0.666666667,0.03333333,0,18,3,0,0
91,18.43,M,Hard,Hard,Hard,2,2,6.426,4.052900196,2.025,3.467708177,2,0.666666667,0.03333333,0,12,4,0,0
91,18.43,M,Hard,Hard,Hard,3,3,5.1,3.885871846,4.088,3.75339846,0,0.666666667,0.03333333,0,12,0,0,0
92,18.17,F,Easy,Easy,Easy,1,1,6.324,4.040297019,NA,NA,0,1.666666667,0.08333333,0.046537602,13,0,0,0
92,18.17,F,Easy,Easy,Easy,2,2,1.836,3.44034882,3.172,3.629325006,2,1.666666667,0.08333333,0.046537602,4,0,0,0
92,18.17,F,Easy,Easy,Easy,3,3,2.244,3.499142752,0.862,3.295754845,3,1.666666667,0.08333333,0.046537602,4,0,4,0
98,17.93,F,Impossible,Impossible,Impossible,1,1,0,3.16227766,NA,NA,0,0,0,0.006284565,NA,NA,NA,7
98,17.93,F,Impossible,Impossible,Impossible,2,2,0,3.16227766,NA,NA,0,0,0,0.006284565,NA,NA,NA,7
98,17.93,F,Impossible,Impossible,Impossible,3,3,1.572,3.401764248,0.1,3.178049716,0,0,0,0.006284565,5,0,0,7
101,19.17,M,Easy,Easy,Easy,1,1,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,1
101,19.17,M,Easy,Easy,Easy,2,2,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,1
101,19.17,M,Easy,Easy,Easy,3,3,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,1
102,18.7,M,Hard,Hard,Hard,1,1,2.048,3.471022904,0.292,3.208114711,0,0,0,0,6,1,0,0
102,18.7,M,Hard,Hard,Hard,2,2,13.982,4.897142024,5.166,3.894354889,0,0,0,0,29,4,5,0
102,18.7,M,Hard,Hard,Hard,3,3,11.67,4.655104725,5.88,3.984971769,0,0,0,0,25,3,10,0
103,19.03,F,Impossible,Impossible,Impossible,1,1,2.652,3.556964998,2.863,3.586502475,0,0,0,0,8,0,0,0
103,19.03,F,Impossible,Impossible,Impossible,2,2,5.304,3.91203272,1.922,3.45282493,0,0,0,0,11,0,0,0
103,19.03,F,Impossible,Impossible,Impossible,3,3,1.632,3.4105718,4.021,3.744462578,0,0,0,0,4,1,0,0
104,19.1,F,Easy,Easy,Easy,1,1,13.676,4.865799009,6.392,4.048703496,0,0.333333333,0.01666667,0.065505044,28,10,0,0
